word,score
soare,3.1788653096578607
stare,3.1173668254655693
slate,3.093980077955825
orate,3.075357297531399
crate,3.063663923776527
irate,3.0558683412732783
saine,3.052836725855349
snare,3.0515374621048075
strae,3.05110437418796
stale,3.042875703767865
roate,3.032048505846687
slane,3.032048505846687
stire,3.02555218709398
arise,3.0220874837592033
store,3.0207882200086615
arose,3.0173235166738848
carte,3.0168904287570375
raile,3.0103941100043308
stoae,3.0025985275010827
crane,3.0017323516673886
carle,3.000866175833694
prate,2.999133824166306
raise,2.9987007362494587
stane,2.99696838458207
trace,2.9926375054135987
carse,2.989172802078822
saute,2.9870073624945865
coate,2.978778692074491
trine,2.978778692074491
saice,2.974880900822867
scare,2.9740147249891726
trone,2.9740147249891726
torse,2.971849285404937
prase,2.97141619748809
paire,2.967085318319619
salet,2.9657860545690777
urate,2.9653529666522305
raine,2.964486790818536
share,2.961022087483759
caste,2.956691208315288
snore,2.9549588566478997
stile,2.9510610653962757
slart,2.9484625378951925
stole,2.946297098310957
crise,2.9441316587267217
grate,2.941966219142486
saner,2.9406669553919444
toile,2.9398007795582504
urase,2.937635339974015
parle,2.936336076223473
taser,2.935036812472932
toise,2.9281074058033782
seral,2.9259419662191424
teary,2.9250757903854483
parse,2.924642702468601
taler,2.9211779991338243
salue,2.916847119965353
slier,2.9116500649631876
crine,2.909917713295799
maire,2.909917713295799
trade,2.909917713295799
scrae,2.9077522737115635
soler,2.9077522737115635
porae,2.906453009961022
crone,2.905153746210481
sorel,2.9042875703767863
corse,2.902988306626245
trice,2.9008228670420095
stone,2.9003897791251623
scale,2.899523603291468
blare,2.898657427457774
caret,2.898224339540927
sture,2.8977912516240796
irone,2.8973581637072328
spare,2.8973581637072328
ursae,2.8973581637072328
paste,2.892161108705067
brane,2.8895625812039842
glare,2.8891294932871374
plate,2.887830229536596
prole,2.8865309657860547
shale,2.8865309657860547
stear,2.884798614118666
frate,2.883932438284972
suite,2.8830662624512775
ariel,2.881766998700736
sarge,2.881766998700736
antre,2.880900822867042
paise,2.880900822867042
prise,2.8796015591165007
marle,2.8791684711996535
oater,2.8791684711996535
sorta,2.878735383282806
trape,2.8783022953659594
score,2.877436119532265
aline,2.8765699436985708
aisle,2.8752706799480294
prose,2.874837592031182
serai,2.874837592031182
litre,2.8744045041143353
urite,2.873538328280641
alone,2.8718059766132527
slade,2.8713728886964054
arsey,2.870939800779558
coste,2.8705067128627113
alure,2.86920744911217
sabre,2.86920744911217
shire,2.86920744911217
later,2.8687743611953227
cater,2.8674750974447814
drole,2.8674750974447814
laser,2.8674750974447814
marse,2.8674750974447814
reast,2.867042009527934
setal,2.867042009527934
artel,2.8666089216110873
shore,2.8644434820268514
solar,2.862711130359463
slice,2.862278042442616
liane,2.8609787786920746
haste,2.86011260285838
canoe,2.8596795149415333
soral,2.859246427024686
leary,2.8575140753572974
ronte,2.8566478995236033
clote,2.8557817236899092
haole,2.8557817236899092
earst,2.854482459939368
sared,2.8540493720225206
tears,2.8531831961888265
socle,2.852317020355132
stair,2.852317020355132
tares,2.851450844521438
siler,2.8505846686877434
wrate,2.8505846686877434
morae,2.849285404937202
saint,2.8488523170203552
trail,2.848419229103508
nitre,2.847553053269814
potae,2.847553053269814
seity,2.847553053269814
sauce,2.8471199653529666
alert,2.8462537895192725
slaty,2.8462537895192725
nacre,2.8458207016024253
baste,2.844521437851884
sayne,2.844521437851884
ratel,2.8432221741013426
prone,2.84062364660026
blate,2.8401905586834126
cosie,2.839757470766566
spate,2.8388912949328713
atone,2.836725855348636
salty,2.836725855348636
stade,2.8362927674317886
maile,2.8354265915980945
peart,2.8354265915980945
saree,2.8349935036812473
noise,2.833694239930706
irade,2.8332611520138586
alter,2.832828064097012
brise,2.8319618882633173
flare,2.831095712429623
close,2.8280640970116933
slant,2.8280640970116933
daine,2.8276310090948464
trial,2.8276310090948464
brose,2.827197921177999
resat,2.826764833261152
plane,2.825898657427458
maise,2.823733217843222
moire,2.823733217843222
spale,2.822867042009528
early,2.8224339540926806
grise,2.8224339540926806
thrae,2.822000866175834
anile,2.8215677782589865
drone,2.8215677782589865
farle,2.8211346903421393
sitar,2.8207016024252924
earnt,2.820268514508445
chare,2.819402338674751
dorse,2.819402338674751
loure,2.818969250757904
halse,2.8185361628410566
salse,2.8185361628410566
tride,2.8181030749242097
cause,2.8176699870073625
coure,2.8176699870073625
sarin,2.8176699870073625
styre,2.8172368990905152
anole,2.8168038111736684
cruse,2.816370723256821
ariot,2.815937635339974
sayer,2.815937635339974
cadre,2.815504547423127
oriel,2.815504547423127
least,2.81507145950628
salto,2.8142052836725857
thale,2.8137721957557384
trode,2.813339107838891
blase,2.812472932005197
realo,2.812472932005197
route,2.812472932005197
brace,2.811606756171503
urine,2.811606756171503
shite,2.8107405803378085
stela,2.8107405803378085
anise,2.8098744045041144
crape,2.809441316587267
farse,2.809441316587267
orant,2.809441316587267
sonar,2.809441316587267
targe,2.80900822867042
aesir,2.808575140753573
starn,2.8072758770030317
steal,2.8072758770030317
clart,2.8068427890861845
horse,2.806409701169337
tries,2.806409701169337
senor,2.8059766132524904
shote,2.8059766132524904
spire,2.805543525335643
roset,2.805110437418796
sonce,2.805110437418796
soyle,2.8042442615851018
snary,2.8038111736682545
conte,2.8033780857514077
heart,2.8033780857514077
stray,2.8033780857514077
pater,2.8029449978345604
rance,2.8029449978345604
blore,2.8020788220008663
grace,2.8020788220008663
rayle,2.8020788220008663
terai,2.8020788220008663
spore,2.800779558250325
roast,2.8003464703334777
touse,2.8003464703334777
caner,2.7990472065829364
seron,2.7990472065829364
cline,2.798614118666089
serin,2.7981810307492423
snarl,2.7981810307492423
brine,2.797747942832395
saury,2.797747942832395
outre,2.7964486790818537
roule,2.7964486790818537
tesla,2.7964486790818537
learn,2.7951494153313123
sated,2.7951494153313123
poise,2.794716327414465
sable,2.794716327414465
tuile,2.794283239497618
clone,2.793850151580771
crest,2.7934170636639237
train,2.791684711996535
siren,2.7903854482459938
tolar,2.789952360329147
paler,2.787786920744911
crame,2.786920744911217
teras,2.786920744911217
stria,2.7864876569943697
tripe,2.7864876569943697
pearl,2.786054569077523
lears,2.7856214811606756
arles,2.7851883932438284
lairy,2.7851883932438284
rouse,2.7847553053269816
dater,2.783889129493287
lares,2.783889129493287
arets,2.78345604157644
grone,2.78345604157644
resay,2.783022953659593
cares,2.7825898657427457
stage,2.782156777825899
toner,2.7817236899090516
trope,2.7817236899090516
gorse,2.7812906019922043
loser,2.7812906019922043
morse,2.7812906019922043
sucre,2.7812906019922043
tared,2.7812906019922043
leant,2.780857514075357
trona,2.7804244261585103
rathe,2.7795582503248157
slide,2.7795582503248157
solei,2.779125162407969
teals,2.7786920744911217
clear,2.7782589865742744
serac,2.7778258986574276
tiler,2.7778258986574276
liart,2.7773928107405803
tales,2.7773928107405803
rates,2.776959722823733
spane,2.776959722823733
diane,2.776093546990039
solde,2.7756604590731917
pilae,2.775227371156345
reist,2.775227371156345
boite,2.7747942832394976
ceria,2.773061931572109
story,2.773061931572109
truce,2.773061931572109
deary,2.772628843655262
aiery,2.7717626678215677
rinse,2.7717626678215677
hater,2.7708964919878736
scart,2.7700303161541795
crena,2.7695972282373322
relay,2.769164140320485
stern,2.768731052403638
corey,2.768297964486791
sored,2.7678648765699436
telia,2.7678648765699436
thane,2.7678648765699436
pareo,2.7674317886530964
price,2.7674317886530964
retia,2.7674317886530964
sault,2.7669987007362495
laers,2.7665656128194023
ourie,2.766132524902555
hanse,2.765266349068861
tores,2.765266349068861
soily,2.7648332611520137
frise,2.764400173235167
argle,2.7639670853183196
sware,2.7635339974014723
vaire,2.7635339974014723
clary,2.7631009094846255
reals,2.7631009094846255
surat,2.7631009094846255
hoise,2.7626678215677782
rales,2.761801645734084
santo,2.7609354699003896
souce,2.7609354699003896
waite,2.7600692940666955
palet,2.7596362061498483
taels,2.7596362061498483
artsy,2.7592031182330015
nears,2.758770030316154
neral,2.758770030316154
satin,2.758770030316154
seare,2.758770030316154
sient,2.758770030316154
write,2.758770030316154
curse,2.757470766565613
triol,2.757470766565613
nares,2.7570376786487656
scone,2.7570376786487656
borne,2.7566045907319188
rayne,2.7561715028150715
haler,2.7557384148982242
noter,2.7557384148982242
resit,2.7557384148982242
snirt,2.7557384148982242
deair,2.7553053269813774
phare,2.75487223906453
react,2.75487223906453
curie,2.754439151147683
noser,2.754439151147683
sager,2.754439151147683
smore,2.754439151147683
baser,2.754006063230836
ceorl,2.754006063230836
wrote,2.754006063230836
tarsi,2.753572975313989
pause,2.7531398873971415
slain,2.7531398873971415
larnt,2.7522737115634475
coset,2.7518406236466
throe,2.7518406236466
mitre,2.751407535729753
praty,2.751407535729753
forte,2.750974447812906
lance,2.750974447812906
padre,2.750974447812906
snort,2.750974447812906
trans,2.750974447812906
earls,2.750541359896059
stean,2.750541359896059
cleat,2.7501082719792116
derat,2.7501082719792116
blaer,2.7496751840623648
certy,2.7496751840623648
moile,2.7492420961455175
haute,2.7488090082286702
moste,2.7488090082286702
piste,2.7488090082286702
shine,2.7488090082286702
soree,2.7488090082286702
blite,2.7483759203118234
drice,2.7483759203118234
loast,2.7483759203118234
reais,2.7483759203118234
spaer,2.7483759203118234
place,2.747942832394976
since,2.747942832394976
slipe,2.747942832394976
coast,2.747076656561282
morne,2.747076656561282
spite,2.747076656561282
uraei,2.7462104807275876
gater,2.7457773928107407
mater,2.7457773928107407
birle,2.7453443048938935
oaten,2.744911216977046
maser,2.7444781290601994
salon,2.7444781290601994
tread,2.7444781290601994
shone,2.744045041143352
ayrie,2.743611953226505
cesta,2.743611953226505
waste,2.743611953226505
slope,2.743178865309658
resty,2.742745777392811
style,2.742745777392811
dealt,2.7418796015591167
relit,2.7418796015591167
large,2.7414465136422694
claro,2.7405803378085754
baler,2.740147249891728
manse,2.740147249891728
seton,2.740147249891728
great,2.739714161974881
orals,2.739714161974881
otary,2.739714161974881
adore,2.7392810740580336
presa,2.7392810740580336
sidle,2.7392810740580336
sarod,2.7388479861411867
petar,2.7384148982243395
cries,2.7375487223906454
leany,2.737115634473798
steil,2.736249458640104
taros,2.736249458640104
tried,2.736249458640104
crost,2.7353832828064095
false,2.7353832828064095
laten,2.7345171069727154
saser,2.734084019055868
birse,2.7336509311390214
carol,2.7336509311390214
chase,2.733217843222174
peaty,2.733217843222174
stroy,2.733217843222174
tenor,2.733217843222174
druse,2.732784755305327
louse,2.732784755305327
sutra,2.732784755305327
brute,2.7319185794716327
nurse,2.7319185794716327
slake,2.7319185794716327
faine,2.7314854915547855
spile,2.7310524036379387
salle,2.7306193157210914
clade,2.7297531398873973
louie,2.7297531398873973
toeas,2.7297531398873973
toran,2.7297531398873973
tiars,2.72932005197055
arsed,2.728886964053703
prest,2.728886964053703
salep,2.728886964053703
shear,2.728453876136856
solan,2.728453876136856
bosie,2.7275877003031614
cabre,2.7275877003031614
lathe,2.7275877003031614
paren,2.7275877003031614
sloan,2.7275877003031614
leats,2.7271546123863146
laity,2.7267215244694674
saned,2.7267215244694674
cadie,2.72628843655262
scary,2.72628843655262
togae,2.72628843655262
aeros,2.7258553486357733
drape,2.7258553486357733
cruet,2.725422260718926
liter,2.725422260718926
slime,2.725422260718926
sithe,2.7245560848852315
citer,2.7241229969683847
oared,2.7241229969683847
cates,2.7236899090515374
lacer,2.7236899090515374
chore,2.7228237332178433
sonde,2.722390645300996
table,2.721957557384149
cairn,2.721524469467302
boart,2.7210913815504547
hause,2.7210913815504547
saunt,2.7210913815504547
tased,2.7210913815504547
clast,2.7206582936336074
oiler,2.7206582936336074
feart,2.7202252057167606
resto,2.7202252057167606
saber,2.7202252057167606
saith,2.7202252057167606
shier,2.7202252057167606
toras,2.7202252057167606
trave,2.7202252057167606
brast,2.7197921177999134
pears,2.7197921177999134
ramie,2.7197921177999134
grade,2.719359029883066
orles,2.7189259419662193
ulnae,2.7189259419662193
claes,2.7180597661325248
lyase,2.7180597661325248
pares,2.7180597661325248
reoil,2.7180597661325248
stain,2.7180597661325248
caple,2.717626678215678
coral,2.717626678215678
cripe,2.717626678215678
noule,2.717626678215678
prune,2.717626678215678
braes,2.7171935902988307
heast,2.7171935902988307
reans,2.7171935902988307
thole,2.7171935902988307
rainy,2.7167605023819834
silen,2.7163274144651366
brule,2.7158943265482893
renay,2.7158943265482893
poser,2.715461238631442
shoer,2.715461238631442
arled,2.7150281507145952
